acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label,timestamp
-1.3153015,-44.1640,170,-0.94403034,-12.9402,46,0,3581799
-0.39384413,-44.1640,170,0.2904355,-12.9402,46,0,3581799
-0.42821503,-45.7056,171,-0.40514922,-14.3988,48,0,3581800
0.5629624,-45.7056,171,1.0313348,-14.3988,48,0,3581800
-0.31487644,-46.8391,172,-0.22420272,-15.2059,49,0,3581801
0.076051235,-46.8391,172,-1.4867306,-15.2059,49,0,3581801
-0.33166504,-48.0331,173,0.31223968,-14.0818,50,0,3581802
0.11739051,-48.0331,173,-0.10811675,-14.0818,50,0,3581802
0.40198743,-46.5860,174,-0.48926717,-15.8432,49,0,3581803
0.10857141,-46.5860,174,-0.013837535,-15.8432,49,0,3581803
0.20090139,-45.8627,175,-0.10922946,-16.2364,49,0,3581804
0.789613,-43.0201,176,0.71779513,-13.6524,45,0,3581805
-0.83912826,-43.0201,176,0.30953357,-13.6524,45,0,3581805
-0.085796356,-43.3290,177,-0.73327476,-16.2921,46,0,3581806
-0.5636817,-43.3290,177,-1.1530536,-16.2921,46,0,3581806
-0.674605,-45.7576,178,-0.3781833,-17.6536,49,0,3581807
0.7489872,-45.7576,178,0.7775284,-17.6536,49,0,3581807
-1.0490661,-49.5342,179,-0.8120072,-20.5768,54,0,3581808
-0.6071586,-49.5342,179,2.0007071,-20.5768,54,0,3581808
-0.6309858,-51.8058,180,-0.10072729,-20.9394,56,0,3581809
-0.23300362,-51.8058,180,-1.0755312,-20.9394,56,0,3581809
-0.038929224,-51.9459,181,-0.6663336,-23.3383,57,0,3581810
0.14722526,-51.9459,181,0.69420284,-23.3383,57,0,3581810
1.3341161,-47.1431,182,-0.1415723,-23.8479,53,0,3581811
0.5215554,-45.2655,183,0.13940394,-23.3461,51,0,3581812
-0.34894216,-45.2655,183,-0.3824355,-23.3461,51,0,3581812
0.15516281,-44.7069,184,0.4742343,-21.6388,50,0,3581813
-0.4419073,-44.7069,184,0.3562544,-21.6388,50,0,3581813
0.04711628,-44.5373,185,-0.22506526,-22.4490,50,0,3581814
-1.1028864,-44.5373,185,-0.11111134,-22.4490,50,0,3581814
-0.11131048,-44.9380,186,0.3503166,-21.1879,50,0,3581815
0.2196424,-44.9380,186,0.54232514,-21.1879,50,0,3581815
-0.27052987,-45.9119,187,-0.44542545,-22.7914,51,0,3581816
-0.63782656,-45.9119,187,-0.27594423,-22.7914,51,0,3581816
-0.094656944,-46.2527,188,-0.49301025,-24.5663,52,0,3581817
